city,company_name,country,governate,location,mode,name,type,url
New Nozha,Sinmar Soft,Egypt,Cairo,"New Nozha, Cairo, Egypt",on-site,"full time senior asp net core, blazor developer",full time,https://wuzzuf.net/jobs/p/egAt7k6Uk8cP-Full-time-Senior-ASP-Net-Core-Blazor-Developer-Sinmar-Soft-Cairo-Egypt
Dokki,Cloud11,Egypt,Giza,"Dokki, Giza, Egypt",hybrid,applications specialist,full time,https://wuzzuf.net/jobs/p/xJbx8wGBSUra-Applications-Specialist-Cloud11-Giza-Egypt
New Cairo,The Address Investments for Real Estate Consultancy,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,senior front end developer,full time,https://wuzzuf.net/jobs/p/1YCcBseCXVMF-Senior-Front-End-Developer-The-Address-Investments-for-Real-Estate-Consultancy-Cairo-Egypt
New Cairo,The Address Investments for Real Estate Consultancy,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,backend developer(mid lvl),full time,https://wuzzuf.net/jobs/p/kWrqx9sESLx7-Backend-DeveloperMid-LVL-The-Address-Investments-for-Real-Estate-Consultancy-Cairo-Egypt
Maadi,Compass International,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,dot net developer-senior,full time,https://wuzzuf.net/jobs/p/xtDgudOwU48B-Dot-Net-Developer-Senior-Compass-International-Cairo-Egypt
New Cairo,Global Brands,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,odoo implementer,full time,https://wuzzuf.net/jobs/p/8Pk8oIsRkK8m-Odoo-Implementer-Global-Brands-Cairo-Egypt
New Cairo,Global Brands,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,odoo developer,full time,https://wuzzuf.net/jobs/p/Cxwz596K04Rj-Odoo-Developer-Global-Brands-Cairo-Egypt
New Cairo,Tradeline Stores,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,technical support representative,full time,https://wuzzuf.net/jobs/p/MdOuZrlnCOli-Technical-Support-Representative-Tradeline-Stores-Cairo-Egypt
,GET Group- Egypt,Egypt,Cairo,"Cairo, Egypt",hybrid,software quality control engineer (manual & automation),full time,https://wuzzuf.net/jobs/p/D3d1kcBbKxJ7-Software-Quality-Control-Engineer-Manual-Automation-GET-Group--Egypt-Cairo-Egypt
Maadi,WUZZUF,Egypt,Cairo,"Maadi, Cairo, Egypt",hybrid,data analyst lead / manager,full time,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt
Dokki,Premier Services and Recruitment,Egypt,Giza,"Dokki, Giza, Egypt",on-site,adf developer,full time,https://wuzzuf.net/jobs/p/H6aLPkolaTkg-ADF-Developer-Premier-Services-and-Recruitment-Giza-Egypt
New Cairo,Better Home,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,sap hcm consultant,full time,https://wuzzuf.net/jobs/p/gcbyKcXwctmP-SAP-HCM-Consultant-Better-Home-Cairo-Egypt
Nasr City,Confidential,Egypt,Cairo,"Nasr City, Cairo, Egypt",remote,senior odoo developer,full time,https://wuzzuf.net/jobs/p/7Tvbu7f9pPsq-Senior-Odoo-Developer-Cairo-Egypt
Obour City,Confidential,Egypt,Cairo,"Obour City, Cairo, Egypt",on-site,erp administrator,full time,https://wuzzuf.net/jobs/p/WbpQ0Rx6XGfr-ERP-Administrator-Cairo-Egypt
Glim,Confidential,Egypt,Alexandria,"Glim, Alexandria, Egypt",on-site,flutter developer,full time,https://wuzzuf.net/jobs/p/z97x0ok9r4jm-Flutter-Developer-Alexandria-Egypt
Maadi,Paymob Solutions,Egypt,Cairo,"Maadi, Cairo, Egypt",hybrid,backend engineer,full time,https://wuzzuf.net/jobs/p/h0HQLLdjIvWB-Backend-Engineer-Paymob-Solutions-Cairo-Egypt
,SalesArm,Egypt,Cairo,"Cairo, Egypt",remote,.net core mvc software developer - immediate ready to join only*,full time,https://wuzzuf.net/jobs/p/FmIMUb59GVGC-NET-Core-MVC-Software-Developer---Immediate-ready-to-join-only-SalesArm-Cairo-Egypt
Maadi,Windrose Academy,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,technical support specialist,full time,https://wuzzuf.net/jobs/p/ZNrpTVtaVlyy-Technical-Support-Specialist-Windrose-Academy-Cairo-Egypt
Sheraton,Egabi FSI,Egypt,Cairo,"Sheraton, Cairo, Egypt",on-site,senior pre-sales engineer- software,full time,https://wuzzuf.net/jobs/p/fQPrZvvFOE7r-Senior-Pre-Sales-Engineer--Software-Egabi-FSI-Cairo-Egypt
Nasr City,Informatique Education,Egypt,Cairo,"Nasr City, Cairo, Egypt",hybrid,.net web developer,full time,https://wuzzuf.net/jobs/p/tJsamRSfW0W7-NET-WEB-DEVELOPER-Informatique-Education-Cairo-Egypt
Heliopolis,Al Ateeq Software,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,data analyst,full time,https://wuzzuf.net/jobs/p/iuzdMG6P7juP-Data-Analyst-Al-Ateeq-Software-Cairo-Egypt
New Cairo,Cubic Information Systems,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,software project manager,full time,https://wuzzuf.net/jobs/p/E0dXoJVCtgtd-Software-Project-Manager-Cubic-Information-Systems-Cairo-Egypt
