city,company_name,country,governate,location,mode,name,type,url
6th of October,Confidential,Egypt,Giza,"6th of October, Giza, Egypt",hybrid,senior flutter programmer / developer,full time,https://wuzzuf.net/jobs/p/zztpmrN4IxYh-Senior-Flutter-Programmer-Developer-Giza-Egypt
,Confidential,Egypt,Cairo,"Cairo, Egypt",remote,web/mobile ux designer,full time,https://wuzzuf.net/jobs/p/CKGSEERTVLre-WebMobile-UX-Designer-Cairo-Egypt
Heliopolis,Itechs Group,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,sr. presales engineer (light current),full time,https://wuzzuf.net/jobs/p/6eXds09F3XuO-Sr-Presales-engineer-Light-Current-Itechs-Group-Cairo-Egypt
6th of October,"Do Localize, Ltd.",Egypt,Giza,"6th of October, Giza, Egypt",on-site,desktop publishing (dtp) specialist,full time,https://wuzzuf.net/jobs/p/vjPHmxwMAoqU-Desktop-Publishing-DTP-Specialist-Do-Localize-Ltd-Giza-Egypt
New Cairo,The Address Investments for Real Estate Consultancy,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,senior product owner,full time,https://wuzzuf.net/jobs/p/Ne0jZqBYpgWs-Senior-Product-Owner-The-Address-Investments-for-Real-Estate-Consultancy-Cairo-Egypt
New Cairo,INVADE Solutions,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,software sales executive,full time,https://wuzzuf.net/jobs/p/KarVQm3cdPdH-Software-Sales-Executive-INVADE-Solutions-Cairo-Egypt
,Rehabitaire,Egypt,Cairo,"Cairo, Egypt",on-site,front end developer,full time,https://wuzzuf.net/jobs/p/xOMuETi5ZNDf-Front-End-Developer-Rehabitaire-Cairo-Egypt
Sheraton,Aldabboos Group,Egypt,Cairo,"Sheraton, Cairo, Egypt",on-site,online erp sales,full time,https://wuzzuf.net/jobs/p/qsr43mRifOv2-Online-ERP-Sales-Aldabboos-Group-Cairo-Egypt
Sheraton,Aldabboos Group,Egypt,Cairo,"Sheraton, Cairo, Egypt",on-site,technical support officer,full time,https://wuzzuf.net/jobs/p/PLthVhfneLWr-Technical-Support-Officer-Aldabboos-Group-Cairo-Egypt
Heliopolis,Orion360,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,french customer service,full time,https://wuzzuf.net/jobs/p/m82iyw15fLbh-French-Customer-service-Orion360-Cairo-Egypt
Agouza,aDispatcher,Egypt,Giza,"Agouza, Giza, Egypt",hybrid,seo specialist,full time,https://wuzzuf.net/jobs/p/QSJYrMoEMlit-SEO-Specialist-aDispatcher-Giza-Egypt
Fleming,Madar Soft,Egypt,Alexandria,"Fleming, Alexandria, Egypt",remote,senior web developer,full time,https://wuzzuf.net/jobs/p/C4ECETycCJVd-Senior-Web-Developer-Madar-Soft-Alexandria-Egypt
New Cairo,Confidential,Egypt,Cairo,"New Cairo, Cairo, Egypt",remote,chief technology officer / co-founder,full time,https://wuzzuf.net/jobs/p/tweBrY9aCGPU-Chief-Technology-Officer-Co-Founder-Cairo-Egypt
,OrobaSoft,Egypt,Cairo,"Cairo, Egypt",remote,software tester / qa engineer (asp.net core),full time,https://wuzzuf.net/jobs/p/o9QOz1dOQmDg-Software-Tester-QA-Engineer-ASPNET-Core-OrobaSoft-Cairo-Egypt
Smart Village,Falcons International Trading & Marketing,Egypt,Giza,"Smart Village, Giza, Egypt",on-site,it agent,full time,https://wuzzuf.net/jobs/p/wqeKVxChhMy3-IT-Agent-Falcons-International-Trading-Marketing-Giza-Egypt
,International Organization for E-Tourism Industry IOETI,Egypt,Giza,"Giza, Egypt",hybrid,php developer,full time,https://wuzzuf.net/jobs/p/iWHM2uALp6R1-PHP-Developer-International-Organization-for-E-Tourism-Industry-IOETI-Giza-Egypt
,APPSGATE for IT Services & IT Consulting,Egypt,Cairo,"Cairo, Egypt",remote,senior techno-functional odoo consultant,full time,https://wuzzuf.net/jobs/p/ll1U6vMZMfEH-Senior-Techno-functional-Odoo-Consultant-APPSGATE-for-IT-Services-IT-Consulting-Cairo-Egypt
,SURE International Technology,Egypt,Cairo,"Cairo, Egypt",remote,outsystems team lead,full time,https://wuzzuf.net/jobs/p/zxNx81ExWvBk-Outsystems-Team-Lead-SURE-International-Technology-Cairo-Egypt
,EXALT Technologies,Egypt,Cairo,"Cairo, Egypt",hybrid,cloud security engineer,full time,https://wuzzuf.net/jobs/p/Q7MxnbXQhJIZ-Cloud-Security-Engineer-EXALT-Technologies-Cairo-Egypt
,SURE International Technology,Egypt,Cairo,"Cairo, Egypt",remote,sr. outsystems developer,full time,https://wuzzuf.net/jobs/p/GlqArW4nHoJS-Sr-Outsystems-Developer-SURE-International-Technology-Cairo-Egypt
6th of October,Confidential,Egypt,Giza,"6th of October, Giza, Egypt",hybrid,senior flutter programmer / developer,full time,https://wuzzuf.net/jobs/p/zztpmrN4IxYh-Senior-Flutter-Programmer-Developer-Giza-Egypt
,Confidential,Egypt,Cairo,"Cairo, Egypt",remote,web/mobile ux designer,full time,https://wuzzuf.net/jobs/p/CKGSEERTVLre-WebMobile-UX-Designer-Cairo-Egypt
Heliopolis,Itechs Group,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,sr. presales engineer (light current),full time,https://wuzzuf.net/jobs/p/6eXds09F3XuO-Sr-Presales-engineer-Light-Current-Itechs-Group-Cairo-Egypt
6th of October,"Do Localize, Ltd.",Egypt,Giza,"6th of October, Giza, Egypt",on-site,desktop publishing (dtp) specialist,full time,https://wuzzuf.net/jobs/p/vjPHmxwMAoqU-Desktop-Publishing-DTP-Specialist-Do-Localize-Ltd-Giza-Egypt
New Cairo,The Address Investments for Real Estate Consultancy,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,senior product owner,full time,https://wuzzuf.net/jobs/p/Ne0jZqBYpgWs-Senior-Product-Owner-The-Address-Investments-for-Real-Estate-Consultancy-Cairo-Egypt
New Cairo,INVADE Solutions,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,software sales executive,full time,https://wuzzuf.net/jobs/p/KarVQm3cdPdH-Software-Sales-Executive-INVADE-Solutions-Cairo-Egypt
,Rehabitaire,Egypt,Cairo,"Cairo, Egypt",on-site,front end developer,full time,https://wuzzuf.net/jobs/p/xOMuETi5ZNDf-Front-End-Developer-Rehabitaire-Cairo-Egypt
Sheraton,Aldabboos Group,Egypt,Cairo,"Sheraton, Cairo, Egypt",on-site,online erp sales,full time,https://wuzzuf.net/jobs/p/qsr43mRifOv2-Online-ERP-Sales-Aldabboos-Group-Cairo-Egypt
Sheraton,Aldabboos Group,Egypt,Cairo,"Sheraton, Cairo, Egypt",on-site,technical support officer,full time,https://wuzzuf.net/jobs/p/PLthVhfneLWr-Technical-Support-Officer-Aldabboos-Group-Cairo-Egypt
Heliopolis,Orion360,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,french customer service,full time,https://wuzzuf.net/jobs/p/m82iyw15fLbh-French-Customer-service-Orion360-Cairo-Egypt
Agouza,aDispatcher,Egypt,Giza,"Agouza, Giza, Egypt",hybrid,seo specialist,full time,https://wuzzuf.net/jobs/p/QSJYrMoEMlit-SEO-Specialist-aDispatcher-Giza-Egypt
Fleming,Madar Soft,Egypt,Alexandria,"Fleming, Alexandria, Egypt",remote,senior web developer,full time,https://wuzzuf.net/jobs/p/C4ECETycCJVd-Senior-Web-Developer-Madar-Soft-Alexandria-Egypt
New Cairo,Confidential,Egypt,Cairo,"New Cairo, Cairo, Egypt",remote,chief technology officer / co-founder,full time,https://wuzzuf.net/jobs/p/tweBrY9aCGPU-Chief-Technology-Officer-Co-Founder-Cairo-Egypt
,OrobaSoft,Egypt,Cairo,"Cairo, Egypt",remote,software tester / qa engineer (asp.net core),full time,https://wuzzuf.net/jobs/p/o9QOz1dOQmDg-Software-Tester-QA-Engineer-ASPNET-Core-OrobaSoft-Cairo-Egypt
Smart Village,Falcons International Trading & Marketing,Egypt,Giza,"Smart Village, Giza, Egypt",on-site,it agent,full time,https://wuzzuf.net/jobs/p/wqeKVxChhMy3-IT-Agent-Falcons-International-Trading-Marketing-Giza-Egypt
,International Organization for E-Tourism Industry IOETI,Egypt,Giza,"Giza, Egypt",hybrid,php developer,full time,https://wuzzuf.net/jobs/p/iWHM2uALp6R1-PHP-Developer-International-Organization-for-E-Tourism-Industry-IOETI-Giza-Egypt
,APPSGATE for IT Services & IT Consulting,Egypt,Cairo,"Cairo, Egypt",remote,senior techno-functional odoo consultant,full time,https://wuzzuf.net/jobs/p/ll1U6vMZMfEH-Senior-Techno-functional-Odoo-Consultant-APPSGATE-for-IT-Services-IT-Consulting-Cairo-Egypt
,SURE International Technology,Egypt,Cairo,"Cairo, Egypt",remote,outsystems team lead,full time,https://wuzzuf.net/jobs/p/zxNx81ExWvBk-Outsystems-Team-Lead-SURE-International-Technology-Cairo-Egypt
,EXALT Technologies,Egypt,Cairo,"Cairo, Egypt",hybrid,cloud security engineer,full time,https://wuzzuf.net/jobs/p/Q7MxnbXQhJIZ-Cloud-Security-Engineer-EXALT-Technologies-Cairo-Egypt
,SURE International Technology,Egypt,Cairo,"Cairo, Egypt",remote,sr. outsystems developer,full time,https://wuzzuf.net/jobs/p/GlqArW4nHoJS-Sr-Outsystems-Developer-SURE-International-Technology-Cairo-Egypt
New Cairo,eVision,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,senior power bi analyst / developer,full time,https://wuzzuf.net/jobs/p/OG3HSsCio5i6-Senior-Power-BI-Analyst-Developer-eVision-Cairo-Egypt
Zamalek,Confidential,Egypt,Cairo,"Zamalek, Cairo, Egypt",on-site,call center team lead,full time,https://wuzzuf.net/jobs/p/aXCoy6G8CJap-Call-Center-Team-Lead-Cairo-Egypt
New Cairo,HIGHBASE TRADING W.L.L,Egypt,Cairo,"New Cairo, Cairo, Egypt",remote,senior full stack php laravel developer (remote - full time),full time,https://wuzzuf.net/jobs/p/mXk2cwxACW2l-Senior-Full-Stack-PHP-Laravel-Developer-Remote---Full-Time-HIGHBASE-TRADING-W-L-L-Cairo-Egypt
Nasr City,Confidential,Egypt,Cairo,"Nasr City, Cairo, Egypt",hybrid,immediate hiring: project manager – tech-savvy leader,full time,https://wuzzuf.net/jobs/p/oy4zsApMTwsR-Immediate-Hiring-Project-Manager-–-Tech-Savvy-Leader-Cairo-Egypt
New Cairo,Confidential,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,computer science engineer,full time,https://wuzzuf.net/jobs/p/lcaWKwdwBDnE-Computer-Science-Engineer-Cairo-Egypt
Dokki,First logo agency,Egypt,Giza,"Dokki, Giza, Egypt",on-site,senior php developer,full time,https://wuzzuf.net/jobs/p/AiMGz8a0BRZk-Senior-PHP-Developer-First-logo-agency-Giza-Egypt
Sheikh Zayed,1D Consulting,Egypt,Giza,"Sheikh Zayed, Giza, Egypt",on-site,iam engineer,full time,https://wuzzuf.net/jobs/p/3BU81NUwvu8D-IAM-Engineer-1D-Consulting-Giza-Egypt
New Menia,Asfour Crystal,Egypt,Minya,"New Menia, Minya, Egypt",remote,it support executive,full time,https://wuzzuf.net/jobs/p/2sVk7XE4hKVa-IT-Support-Executive-Asfour-Crystal-Minya-Egypt
Heliopolis,Confidential,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,full stack developer,full time,https://wuzzuf.net/jobs/p/SUWJplv1aItM-Full-Stack-Developer-Cairo-Egypt
Rehab City,GEMS Education,Egypt,Cairo,"Rehab City, Cairo, Egypt",on-site,it help desk,full time,https://wuzzuf.net/jobs/p/bqNRwcS0EXfQ-IT-Help-Desk-GEMS-Education-Cairo-Egypt
Hadayek Alahram,Nile Dynamics Administrative  Services,Egypt,Giza,"Hadayek Alahram, Giza, Egypt",remote,ai chatbot developer,freelance / project,https://wuzzuf.net/jobs/p/p83hFJVG0acK-AI-Chatbot-Developer-Nile-Dynamics-Administrative-Services-Giza-Egypt
Heliopolis,Deux entertainment,Egypt,Cairo,"Heliopolis, Cairo, Egypt",remote,game artist,part time,https://wuzzuf.net/jobs/p/V1B7e7R1W0gN-Game-Artist-Deux-entertainment-Cairo-Egypt
Nasr City,Dynamicslink,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,senior sales account manager,full time,https://wuzzuf.net/jobs/p/OmVJn0hqngTv-Senior-Sales-Account-Manager-Dynamicslink-Cairo-Egypt
6th of October,Lumin,Egypt,Giza,"6th of October, Giza, Egypt",on-site,senior pre-sales engineer (software background),full time,https://wuzzuf.net/jobs/p/Pa4P2wxqaZar-Senior-Pre-sales-Engineer-Software-Background-Lumin-Giza-Egypt
,Confidential,Egypt,Cairo,"Cairo, Egypt",hybrid,technical recruiter,full time,https://wuzzuf.net/jobs/p/ZJDCIq10cmOl-Technical-Recruiter-Cairo-Egypt
,Tawaref,Egypt,Cairo,"Cairo, Egypt",remote,odoo developer team leader,full time,https://wuzzuf.net/jobs/p/4baNVPIFXyiq-Odoo-Developer-Team-Leader-Tawaref-Cairo-Egypt
Abbassia,NOK for Human Capital Solutions,Egypt,Cairo,"Abbassia, Cairo, Egypt",on-site,senior front end developer,full time,https://wuzzuf.net/jobs/p/hXHslqrYNkKh-Senior-Front-End-Developer-NOK-for-Human-Capital-Solutions-Cairo-Egypt
New Cairo,LINK TSP,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,mid-level ui/ux designer,full time,https://wuzzuf.net/jobs/p/0AlKRErOBql4-Mid-Level-UiUX-Designer-LINK-TSP-Cairo-Egypt
New Cairo,LINK TSP,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,flutter mobile developer,full time,https://wuzzuf.net/jobs/p/6b9N0qQ5L5zQ-Flutter-Mobile-Developer-LINK-TSP-Cairo-Egypt
Dokki,Union Coop,Egypt,Giza,"Dokki, Giza, Egypt",on-site,software qc/qa specialist,full time,https://wuzzuf.net/jobs/p/zX3KqntcZXoR-Software-QCQA-specialist-Union-Coop-Giza-Egypt
Manakh,ITS Co.,Egypt,Port Said,"Manakh, Port Said, Egypt",on-site,it engineer,full time,https://wuzzuf.net/jobs/p/K779C8OlZg9K-IT-Engineer-ITS-Co-Port-Said-Egypt
,MOBILY INFOTECH LTD INDIA,Egypt,Cairo,"Cairo, Egypt",remote,hiring hcm - technical consultant,full time,https://wuzzuf.net/jobs/p/hr8TBk0vlA5c-Hiring-HCM---Technical-Consultant-MOBILY-INFOTECH-LTD-INDIA-Cairo-Egypt
Darrasa,Aga Khan Cultural services- Egypt (AKCS-E),Egypt,Cairo,"Darrasa, Cairo, Egypt",on-site,junior help desk it specialist,full time,https://wuzzuf.net/jobs/p/CdjQ8y9pT7ue-Junior-Help-Desk-IT-Specialist-Aga-Khan-Cultural-services--Egypt-AKCS-E-Cairo-Egypt
New Cairo,Confidential,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,senior devops engineer,full time,https://wuzzuf.net/jobs/p/1MVc6ZocnOBa-Senior-Devops-Engineer-Cairo-Egypt
Sheikh Zayed,Teqneia,Egypt,Giza,"Sheikh Zayed, Giza, Egypt",on-site,software business analyst,full time,https://wuzzuf.net/jobs/p/urM9np8aL0ee-Software-Business-Analyst-Teqneia-Giza-Egypt
Maadi,Etisalat Egypt,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,"non voice (mail&chat) english speakers,etisalat uae",full time,https://wuzzuf.net/jobs/p/yDElXTv61Ayy-Non-voice-mailchat-English-SpeakersEtisalat-UAE-Etisalat-Egypt-Cairo-Egypt
New Cairo,Just HR,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,ms-sql admin,full time,https://wuzzuf.net/jobs/p/URHBnaxCaVFX-MS-SQL-Admin-Just-HR-Cairo-Egypt
New Cairo,Just HR,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,windows vm ware administrator,full time,https://wuzzuf.net/jobs/p/rK5dJaqUQlwc-Windows-VM-ware-Administrator-Just-HR-Cairo-Egypt
New Cairo,Just HR,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,backup administrator (l2),full time,https://wuzzuf.net/jobs/p/DGpsP8yu55w9-Backup-Administrator-L2-Just-HR-Cairo-Egypt
New Cairo,Just HR,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,security and vulnerability engineer,full time,https://wuzzuf.net/jobs/p/FxE90qOBVw7V-Security-and-Vulnerability-Engineer-Just-HR-Cairo-Egypt
Mohandessin,Nahdet Misr Publishing Group,Egypt,Giza,"Mohandessin, Giza, Egypt",hybrid,senior sap abap developer,full time,https://wuzzuf.net/jobs/p/qhaqe8hfO6Tb-Senior-SAP-ABAP-Developer-Nahdet-Misr-Publishing-Group-Giza-Egypt
,Storlytics,Egypt,Cairo,"Cairo, Egypt",remote,junior software developer,full time,https://wuzzuf.net/jobs/p/N2EgPQdARLVS-Junior-Software-Developer-Storlytics-Cairo-Egypt
,Youxel,Egypt,Cairo,"Cairo, Egypt",hybrid,.net team lead,full time,https://wuzzuf.net/jobs/p/GeHAQpQfPLYM-Net-Team-Lead-Youxel-Cairo-Egypt
6th of October,Confidential,Egypt,Giza,"6th of October, Giza, Egypt",hybrid,software quality control engineer,full time,https://wuzzuf.net/jobs/p/B5cFgL1WnS3y-Software-Quality-Control-Engineer-Giza-Egypt
Sheraton,Sato pharma,Egypt,Cairo,"Sheraton, Cairo, Egypt",on-site,product manager,full time,https://wuzzuf.net/jobs/p/i1CcmL3OaOs9-Product-Manager-Sato-pharma-Cairo-Egypt
Maadi,Youxel,Egypt,Cairo,"Maadi, Cairo, Egypt",hybrid,senior ui/ux designer,full time,https://wuzzuf.net/jobs/p/UJ0l9yLIyyoW-Senior-UIUX-Designer-Youxel-Cairo-Egypt
Smart Village,"Izam, inc.",Egypt,Giza,"Smart Village, Giza, Egypt",hybrid,content writer - saas,full time,https://wuzzuf.net/jobs/p/ckxG97J7Xnou-Content-Writer---SaaS-Izam-inc-Giza-Egypt
,Luxoft (A DXC Technology Company),Egypt,Cairo,"Cairo, Egypt",on-site,android tech lead,full time,https://wuzzuf.net/jobs/p/jJICTP4z8BXP-Android-Tech-Lead-Luxoft-A-DXC-Technology-Company-Cairo-Egypt
,Luxoft (A DXC Technology Company),Egypt,Cairo,"Cairo, Egypt",on-site,android application developer,full time,https://wuzzuf.net/jobs/p/65i4WFLyppaR-Android-Application-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt
,Luxoft (A DXC Technology Company),Egypt,Cairo,"Cairo, Egypt",on-site,android hmi architect,full time,https://wuzzuf.net/jobs/p/LbyzzYCPWeSP-Android-HMI-Architect-Luxoft-A-DXC-Technology-Company-Cairo-Egypt
Sheikh Zayed,Ultimate Solutions Egypt,Egypt,Giza,"Sheikh Zayed, Giza, Egypt",on-site,android developer,full time,https://wuzzuf.net/jobs/p/kp8MHj67hOr1-Android-Developer-Ultimate-Solutions-Egypt-Giza-Egypt
,Luxoft (A DXC Technology Company),Egypt,Cairo,"Cairo, Egypt",on-site,senior android application developer,full time,https://wuzzuf.net/jobs/p/FyneXYi4S0Ry-Senior-Android-Application-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt
Maadi,Viavi Solutions,Egypt,Cairo,"Maadi, Cairo, Egypt",remote,full stack developer,full time,https://wuzzuf.net/jobs/p/50ZJX8zvxdyb-Full-Stack-Developer-Viavi-Solutions-Cairo-Egypt
Nasr City,El Delta Electronic Systems,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,collection specialist,full time,https://wuzzuf.net/jobs/p/6Z3H0IPtufLe-Collection-Specialist-El-Delta-Electronic-Systems-Cairo-Egypt
New Damietta,Smart Technology Solutions,Egypt,Damietta,"New Damietta, Damietta, Egypt",on-site,procurement specialist,full time,https://wuzzuf.net/jobs/p/WFf4bVcV6K1L-Procurement-Specialist-Smart-Technology-Solutions-Damietta-Egypt
Maadi,Etisalat Egypt,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,mis specialist,full time,https://wuzzuf.net/jobs/p/wZbyimvtpevN-MIS-Specialist-Etisalat-Egypt-Cairo-Egypt
Montaza,Confidential,Egypt,Alexandria,"Montaza, Alexandria, Egypt",remote,web designer,full time,https://wuzzuf.net/jobs/p/lHHuxPDj96k8-Web-Designer-Alexandria-Egypt
New Damietta,Smart Technology Solutions,Egypt,Damietta,"New Damietta, Damietta, Egypt",on-site,soc analyst,full time,https://wuzzuf.net/jobs/p/v1t5MkYd3OzB-SOC-Analyst-Smart-Technology-Solutions-Damietta-Egypt
New Cairo,Syscodeia,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,full stack senior .net core angular developer,full time,https://wuzzuf.net/jobs/p/pEdwI3gvlTCq-Full-stack-Senior-net-core-Angular-Developer-Syscodeia-Cairo-Egypt
Nasr City,Aqarmap.com,Egypt,Cairo,"Nasr City, Cairo, Egypt",hybrid,back end team lead,full time,https://wuzzuf.net/jobs/p/QlKNNSAKKVpA-Back-End-Team-Lead-Aqarmap-com-Cairo-Egypt
Nasr City,Aqarmap.com,Egypt,Cairo,"Nasr City, Cairo, Egypt",hybrid,front end team lead,full time,https://wuzzuf.net/jobs/p/NcYgBxiD5CrJ-Front-End-Team-Lead-Aqarmap-com-Cairo-Egypt
,OrobaSoft,Egypt,Cairo,"Cairo, Egypt",remote,senior full stack asp.net developer - part time,part time,https://wuzzuf.net/jobs/p/AC2cIDGGj1ca-Senior-Full-Stack-ASPNET-Developer---Part-Time-OrobaSoft-Cairo-Egypt
,OrobaSoft,Egypt,Cairo,"Cairo, Egypt",remote,senior full stack asp.net developer,full time,https://wuzzuf.net/jobs/p/Yz1Gp1Z4osty-Senior-Full-Stack-ASPNET-Developer-OrobaSoft-Cairo-Egypt
Nasr City,Al Rabat,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,technical support engineer,full time,https://wuzzuf.net/jobs/p/oimcx9MPDLg8-Technical-Support-Engineer-Al-Rabat-Cairo-Egypt
,Digital Crafts Consulting,Egypt,Cairo,"Cairo, Egypt",hybrid,senior dot net developer,full time,https://wuzzuf.net/jobs/p/0zmAcFmNfGIs-Senior-Dot-Net-Developer-Digital-Crafts-Consulting-Cairo-Egypt
New Damietta,ysolution,Egypt,Damietta,"New Damietta, Damietta, Egypt",remote,web designer,full time,https://wuzzuf.net/jobs/p/TqvHs4L9BEJ9-Web-designer-ysolution-Damietta-Egypt
New Damietta,ysolution,Egypt,Damietta,"New Damietta, Damietta, Egypt",remote,senior .net developer,full time,https://wuzzuf.net/jobs/p/RArkLFtAVdal-Senior-NET-Developer-ysolution-Damietta-Egypt
,Confidential,Egypt,Cairo,"Cairo, Egypt",remote,junior python developer,part time,https://wuzzuf.net/jobs/p/IsFcDfmzmUNB-junior-Python-Developer-Cairo-Egypt
,K Line Europe,Egypt,Cairo,"Cairo, Egypt",hybrid,it systems administrator,full time,https://wuzzuf.net/jobs/p/jWIPCrsvENLc-IT-Systems-Administrator-K-Line-Europe-Cairo-Egypt
Maadi,WUZZUF,Egypt,Cairo,"Maadi, Cairo, Egypt",hybrid,machine learning lead,full time,https://wuzzuf.net/jobs/p/4Nf60vomcxgU-Machine-Learning-Lead-WUZZUF-Cairo-Egypt
Maadi,Bayt El Khebra,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,senior network administrator,full time,https://wuzzuf.net/jobs/p/dFcNf5txXjyy-Senior-Network-Administrator-Bayt-El-Khebra-Cairo-Egypt
,Alarabia Group,Egypt,Cairo,"Cairo, Egypt",on-site,data analyst,full time,https://wuzzuf.net/jobs/p/QGLx9XAUxZfC-Data-Analyst-Alarabia-Group-Cairo-Egypt
Nasr City,Informatique Education,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,financial manager,full time,https://wuzzuf.net/jobs/p/E0ZDbfnpmlZ5-Financial-Manager-Informatique-Education-Cairo-Egypt
6th of October,Confidential,Egypt,Giza,"6th of October, Giza, Egypt",hybrid,scrum master,full time,https://wuzzuf.net/jobs/p/VH5drtbPkQ3B-Scrum-Master-Giza-Egypt
New Capital,Universities of Canada in Egypt,Egypt,Cairo,"New Capital, Cairo, Egypt",on-site,senior technical support engineer,full time,https://wuzzuf.net/jobs/p/QOJPRSetdDp8-Senior-Technical-Support-Engineer-Universities-of-Canada-in-Egypt-Cairo-Egypt
Maadi,Crevisoft Corporation,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,front end developer,full time,https://wuzzuf.net/jobs/p/sNoKoIls9igs-Front-End-Developer-Crevisoft-Corporation-Cairo-Egypt
Sheraton,egabi solutions,Egypt,Cairo,"Sheraton, Cairo, Egypt",hybrid,sap consultant,full time,https://wuzzuf.net/jobs/p/8P1eB6lI6r2h-SAP-Consultant-egabi-solutions-Cairo-Egypt
,TopLine,Egypt,Cairo,"Cairo, Egypt",remote,full stack wordpress developer,full time,https://wuzzuf.net/jobs/p/U2wkCbN0DXX6-Full-Stack-WordPress-Developer-TopLine-Cairo-Egypt
Heliopolis,Integrated Technology Group,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,senior .net developer,full time,https://wuzzuf.net/jobs/p/WkK0xGdKhnDF-Senior-NET-Developer-Integrated-Technology-Group-Cairo-Egypt
6th of October,Rotografia,Egypt,Giza,"6th of October, Giza, Egypt",on-site,it specialist,full time,https://wuzzuf.net/jobs/p/aIKXpNic1hM4-IT-Specialist-Rotografia-Giza-Egypt
Maadi,LINK Development,Egypt,Cairo,"Maadi, Cairo, Egypt",hybrid,senior sharepoint developer,full time,https://wuzzuf.net/jobs/p/7OPFk3WZ17b0-Senior-SharePoint-Developer-LINK-Development-Cairo-Egypt
Nasr City,RTR Software Solutions,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,computer vision engineer,full time,https://wuzzuf.net/jobs/p/my4xolC7q5Hr-Computer-Vision-Engineer-RTR-Software-Solutions-Cairo-Egypt
Smart Village,Xceed Contact Center,Egypt,Giza,"Smart Village, Giza, Egypt",on-site,system administrator,full time,https://wuzzuf.net/jobs/p/JyQEreuS9tiZ-System-Administrator-Xceed-Contact-Center-Giza-Egypt
Nasr City,RTR Software Solutions,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,mid level backend developer{.net core}.,full time,https://wuzzuf.net/jobs/p/CMGtQvnlPs9L-Mid-Level-Backend-DeveloperNet-Core-RTR-Software-Solutions-Cairo-Egypt
Heliopolis,Kgroup,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,it application support manager,full time,https://wuzzuf.net/jobs/p/q9g1cZVt6DdP-IT-Application-Support-Manager-Kgroup-Cairo-Egypt
Nasr City,Future Face,Egypt,Cairo,"Nasr City, Cairo, Egypt",hybrid,senior software qc engineer,full time,https://wuzzuf.net/jobs/p/4XsYnQ6VwHKc-Senior-Software-QC-Engineer-Future-Face-Cairo-Egypt
,Falcons GT mOTORS,Egypt,Cairo,"Cairo, Egypt",on-site,it agent,full time,https://wuzzuf.net/jobs/p/ut81oZTo5yn8-IT-Agent-Falcons-GT-mOTORS-Cairo-Egypt
New Damietta,Smart Technology Solutions,Egypt,Damietta,"New Damietta, Damietta, Egypt",on-site,it security project manager,full time,https://wuzzuf.net/jobs/p/HrwTfW9ZovEi-IT-Security-Project-Manager-Smart-Technology-Solutions-Damietta-Egypt
Maadi,MTS-IT,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,software testing engineer,full time,https://wuzzuf.net/jobs/p/U4vn4zG3ZI7X-Software-Testing-Engineer-MTS-IT-Cairo-Egypt
Rehab City,GEMS Education,Egypt,Cairo,"Rehab City, Cairo, Egypt",on-site,innovation integrator,full time,https://wuzzuf.net/jobs/p/wfb4RNn1bWQb-Innovation-Integrator-GEMS-Education-Cairo-Egypt
